variant,mean_dice,std_dice,median_dice,miss,miss_std,dice,miss_%
segformer_b0_direct,0.760046745485706,0.005519952604067308,0.8113314442764149,0.005405405405405406,0.0,0.7600 ± 0.0055,0.54 ± 0.00
segformer_b0_distilled,0.7638756073862689,0.004669469423393852,0.8114453438232713,0.0018018018018018018,0.0031208122658898693,0.7639 ± 0.0047,0.18 ± 0.31
segformer_b2_teacher,0.7650590731384249,0.003709281625492974,0.8113461725340881,0.0,0.0,0.7651 ± 0.0037,0.00 ± 0.00
yolo_sem_direct (custom255),0.6928026531364785,0.025538610484817138,0.7828778166425433,0.04684684684684685,0.027206610577552255,0.6928 ± 0.0255,4.68 ± 2.72
yolo_sem_direct (native_argmax),0.691117172839098,0.01967922156176017,0.8020662982966069,0.07567567567567568,0.010810810810810811,0.6911 ± 0.0197,7.57 ± 1.08
yolo_sem_distilled (custom255),0.6238931017273281,0.09129449928941902,0.7129955646340592,0.03423423423423424,0.02437432298823186,0.6239 ± 0.0913,3.42 ± 2.44
yolo_sem_distilled (native_argmax),0.6675502383362902,0.0648450034291861,0.7657502478888212,0.07567567567567568,0.048044294147651836,0.6676 ± 0.0648,7.57 ± 4.80
